Strategy,Original Query,LLM Enhanced Query,Recall@10,Ground Truth URLs,Predicted URLs,Predicted Names
S2_LLM_ENRICHED_BOOSTED,"Based on the JD below recommend me assessment for the Consultant position in my organizations. The assessment should not be more than 90 mins
b Description

 Job Purpose 

Responsibilities

The Consultant role supports the broader professional services organization by leading the delivery of impactful client solutions and advising on client programs. Consultants are expected to deliver solutions, services, and insights that are driven by industry best practices and that positively impact client business objectives and partnerships. Individuals in this role provide I/O technical guidance to internal and external stakeholders, and drive continuous improvement related to project delivery.  Primary Duties and Responsibilities  Primary job duties and responsibilities include but may not be limited to:

 Planning, executing, and documenting projects related to clients’ talent assessment and development needs (e.g., job analysis, validation, leadership assessment, succession planning, program implementation, adverse impact analyses, best practices). 
 Leading projects; ensuring overall quality for all client deliverables and guiding other to do the same. 
 Serving as an expert resource to clients and internal stakeholders about issues related to talent assessment, selection, and development. 
 Linking human capital insights to business outcomes and demonstrating ROI. 
 Collaborating with members of the Sales team to manage existing programs and identify new business opportunities. 
 Maintaining up-to-date knowledge of the field including empirical research, industry trends, and competitors. 
 Providing talent analytics and data insights to technical and non-technical stakeholders. 
 Contributing to the ongoing definition and development of SHL’s offerings and methodologies. 
 Presenting to and interacting with senior client stakeholders. 
 Providing thought leadership; working with delivery and commercial teams to drive improvements in the scoping and execution of projects/deliverables. 

 Key Competencies: 

 Decision Making 
 Collaboration 
 Building Relationships 
 Creativity and Innovation 
 Planning and Organizing 
 Delivering Results 
 Adaptability 

 Qualifications include: 

 A graduate degree in Industrial/Organizational psychology or a related discipline 
 2+ years of relevant work experience in applied talent assessment, talent management, or employee selection, including program design and implementation 
 Client-facing delivery experience with design and implementation of talent assessment programs (including job analysis, criterion validation, content validation, and interviews) 
 Selection system development and / or evaluation 
 Proficient in at least one statistical program (e.g., SPSS, R) 
 Strong communication skills and presenting technical results to non-technical stakeholders 

#IO #IndustrialPsychology #psychtalent #talentmanagement #talentassessment #psychometrics #consultant

About Us

We unlock the possibilities of businesses through the power of people, science, and technology.

We started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science, and business transformation.

When you inspire and transform people’s lives, you will experience the greatest business outcomes possible. SHL’s products insights, experiences, and services can help achieve growth at scale.

More at shl.com.

What SHL Can Offer You

 An inclusive culture. 
 A fun and flexible workplace where you’ll be inspired to do your best work. 
 Employee benefits package that takes care of you and your family. 
 Support, coaching, and on-the-job development to achieve career success. 
 The ability to transform workplaces around the world for others. 

SHL is an equal opportunity employer.","Based on the JD below recommend me assessment for the Consultant position in my organizations. The assessment should not be more than 90 mins
b Description

 Job Purpose 

Responsibilities

The Consultant role supports the broader professional services organization by leading the delivery of impactful client solutions and advising on client programs. Consultants are expected to deliver solutions, services, and insights that are driven by industry best practices and that positively impact client business objectives and partnerships. Individuals in this role provide I/O technical guidance to internal and external stakeholders, and drive continuous improvement related to project delivery.  Primary Duties and Responsibilities  Primary job duties and responsibilities include but may not be limited to:

 Planning, executing, and documenting projects related to clients’ talent assessment and development needs (e.g., job analysis, validation, leadership assessment, succession planning, program implementation, adverse impact analyses, best practices). 
 Leading projects; ensuring overall quality for all client deliverables and guiding other to do the same. 
 Serving as an expert resource to clients and internal stakeholders about issues related to talent assessment, selection, and development. 
 Linking human capital insights to business outcomes and demonstrating ROI. 
 Collaborating with members of the Sales team to manage existing programs and identify new business opportunities. 
 Maintaining up-to-date knowledge of the field including empirical research, industry trends, and competitors. 
 Providing talent analytics and data insights to technical and non-technical stakeholders. 
 Contributing to the ongoing definition and development of SHL’s offerings and methodologies. 
 Presenting to and interacting with senior client stakeholders. 
 Providing thought leadership; working with delivery and commercial teams to drive improvements in the scoping and execution of projects/deliverables. 

 Key Competencies: 

 Decision Making 
 Collaboration 
 Building Relationships 
 Creativity and Innovation 
 Planning and Organizing 
 Delivering Results 
 Adaptability 

 Qualifications include: 

 A graduate degree in Industrial/Organizational psychology or a related discipline 
 2+ years of relevant work experience in applied talent assessment, talent management, or employee selection, including program design and implementation 
 Client-facing delivery experience with design and implementation of talent assessment programs (including job analysis, criterion validation, content validation, and interviews) 
 Selection system development and / or evaluation 
 Proficient in at least one statistical program (e.g., SPSS, R) 
 Strong communication skills and presenting technical results to non-technical stakeholders 

#IO #IndustrialPsychology #psychtalent #talentmanagement #talentassessment #psychometrics #consultant

About Us

We unlock the possibilities of businesses through the power of people, science, and technology.

We started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science, and business transformation.

When you inspire and transform people’s lives, you will experience the greatest business outcomes possible. SHL’s products insights, experiences, and services can help achieve growth at scale.

More at shl.com.

What SHL Can Offer You

 An inclusive culture. 
 A fun and flexible workplace where you’ll be inspired to do your best work. 
 Employee benefits package that takes care of you and your family. 
 Support, coaching, and on-the-job development to achieve career success. 
 The ability to transform workplaces around the world for others. 

SHL is an equal opportunity employer. Consultant Sales Personality & Behavior Competencies leadership consultant",0.00,/products/product-catalog/view/shl-verify-interactive-numerical-calculation || /products/product-catalog/view/administrative-professional-short-form || /products/product-catalog/view/verify-verbal-ability-next-generation || /products/product-catalog/view/occupational-personality-questionnaire-opq32r || /products/product-catalog/view/professional-7-1-solution,/products/product-catalog/view/human-resources-new || /products/product-catalog/view/universal-competency-framework-job-profiling-guide || /products/product-catalog/view/hipo-assessment-report-1-0 || /products/product-catalog/view/hipo-assessment-report-2-0 || /products/product-catalog/view/universal-competency-framework-interview-guide || /products/product-catalog/view/360-multi-rater-feedback-system-mfs || /products/product-catalog/view/universal-competency-framework-profiler-cards-44 || /products/product-catalog/view/sap-hcm-human-capital-management-new || /products/product-catalog/view/hipo-unlocking-potential-report-2-0 || /products/product-catalog/view/smart-interview-on-demand,Human Resources (New) || Universal Competency Framework Job profiling guide || HiPo Assessment Report 1.0 || HiPo Assessment Report 2.0 || Universal Competency Framework Interview Guide || 360° Multi-Rater Feedback System (MFS) || Universal Competency Framework Profiler Cards (44) || SAP HCM (Human Capital Management) (New) || HiPo Unlocking Potential Report 2.0 || Smart Interview On Demand
S2_LLM_ENRICHED_BOOSTED,"Content Writer required, expert in English and SEO.","Content Writer required, expert in English and SEO. ",0.40,/products/product-catalog/view/english-comprehension-new || /products/product-catalog/view/drupal-new || /products/product-catalog/view/written-english-v1 || /products/product-catalog/view/occupational-personality-questionnaire-opq32r || /products/product-catalog/view/search-engine-optimization-new,/products/product-catalog/view/search-engine-optimization-new || /products/product-catalog/view/digital-advertising-new || /products/product-catalog/view/htmlcss-new || /products/product-catalog/view/written-english-v1 || /products/product-catalog/view/proofreading-v1 || /products/product-catalog/view/smart-interview-live-coding || /products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report || /products/product-catalog/view/job-control-language-new || /products/product-catalog/view/automata-front-end || /products/product-catalog/view/smart-interview-on-demand,Search Engine Optimization (New) || Digital Advertising (New) || HTML/CSS (New) || Written English v1 || Proofreading v1 || Smart Interview Live Coding || MFS 360 UCF Performance Potential Dev Tips Report || Job Control Language (New) || Automata Front End || Smart Interview On Demand
S2_LLM_ENRICHED_BOOSTED,"Find me 1 hour long assesment for the below job at SHL
Job Description

 Join a community that is shaping the future of work! SHL, People Science. People Answers. 

Are you a seasoned QA Engineer with a flair for innovation? Are you ready to shape the future of talent assessment and empower organizations to unlock their full potential? If so, we want you to be a part of the SHL Team! As a QA Engineer, you will be involved in creating and implementing software solutions that contribute to the development of our ground-breaking products.

An excellent benefit package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture.  There is a huge investment in SHL currently so there’s no better time to become a part of something transformational.

What You Will Be Doing

 Getting involved in engineering quality assurance and providing inputs when required. 
 Create and develop test plans for various forms of testing. 
 Conducts and/or participates in formal and informal test case reviews. 
 Develop and initiate functional tests and regression tests. 
 Rolling out improvements for testing and quality processes. 

Essential

 What we are looking for from you: 

 Development experience – Java or JavaScript, CSS, HTML (Automation) 
 Selenium WebDriver and page object design pattern (Automation) 
 SQL server knowledge 
 Test case management experience. 
 Manual Testing 

Desirable

 Knowledge the basic concepts of testing 
 Strong solution-finding experience 
 Strong verbal and written communicator. 

Get In Touch

Find out how this one-off opportunity can help you achieve your career goals by making an application to our knowledgeable and friendly Talent Acquisition team. Choose a new path with SHL.

 #CareersAtSHL #SHLHiringTalent 

#TechnologyJobs #QualityAssuranceJobs

#CareerOpportunities #JobOpportunities 

About Us

We unlock the possibilities of businesses through the power of people, science and technology.
We started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation.
When you inspire and transform people’s lives, you will experience the greatest business outcomes possible. SHL’s products insights, experiences, and services can help achieve growth at scale.

What SHL Can Offer You

Diversity, equity, inclusion and accessibility are key threads in the fabric of SHL’s business and culture (find out more about DEI and accessibility at SHL )
Employee benefits package that takes care of you and your family.
Support, coaching, and on-the-job development to achieve career success
A fun and flexible workplace where you’ll be inspired to do your best work (find out more LifeAtSHL )
The ability to transform workplaces around the world for others.

SHL is an equal opportunity employer. We support and encourage applications from a diverse range of candidates. We can, and do make adjustments to make sure our recruitment process is as inclusive as possible.

SHL is an equal opportunity employer.","Find me 1 hour long assesment for the below job at SHL
Job Description

 Join a community that is shaping the future of work! SHL, People Science. People Answers. 

Are you a seasoned QA Engineer with a flair for innovation? Are you ready to shape the future of talent assessment and empower organizations to unlock their full potential? If so, we want you to be a part of the SHL Team! As a QA Engineer, you will be involved in creating and implementing software solutions that contribute to the development of our ground-breaking products.

An excellent benefit package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture.  There is a huge investment in SHL currently so there’s no better time to become a part of something transformational.

What You Will Be Doing

 Getting involved in engineering quality assurance and providing inputs when required. 
 Create and develop test plans for various forms of testing. 
 Conducts and/or participates in formal and informal test case reviews. 
 Develop and initiate functional tests and regression tests. 
 Rolling out improvements for testing and quality processes. 

Essential

 What we are looking for from you: 

 Development experience – Java or JavaScript, CSS, HTML (Automation) 
 Selenium WebDriver and page object design pattern (Automation) 
 SQL server knowledge 
 Test case management experience. 
 Manual Testing 

Desirable

 Knowledge the basic concepts of testing 
 Strong solution-finding experience 
 Strong verbal and written communicator. 

Get In Touch

Find out how this one-off opportunity can help you achieve your career goals by making an application to our knowledgeable and friendly Talent Acquisition team. Choose a new path with SHL.

 #CareersAtSHL #SHLHiringTalent 

#TechnologyJobs #QualityAssuranceJobs

#CareerOpportunities #JobOpportunities 

About Us

We unlock the possibilities of businesses through the power of people, science and technology.
We started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation.
When you inspire and transform people’s lives, you will experience the greatest business outcomes possible. SHL’s products insights, experiences, and services can help achieve growth at scale.

What SHL Can Offer You

Diversity, equity, inclusion and accessibility are key threads in the fabric of SHL’s business and culture (find out more about DEI and accessibility at SHL )
Employee benefits package that takes care of you and your family.
Support, coaching, and on-the-job development to achieve career success
A fun and flexible workplace where you’ll be inspired to do your best work (find out more LifeAtSHL )
The ability to transform workplaces around the world for others.

SHL is an equal opportunity employer. We support and encourage applications from a diverse range of candidates. We can, and do make adjustments to make sure our recruitment process is as inclusive as possible.

SHL is an equal opportunity employer. engineer SQL Ability & Aptitude Personality & Behavior Competencies Java manager Engineer",0.11,/products/product-catalog/view/automata-selenium || /products/product-catalog/view/professional-7-1-solution || /products/product-catalog/view/javascript-new || /products/product-catalog/view/htmlcss-new || /products/product-catalog/view/css3-new || /products/product-catalog/view/selenium-new || /products/product-catalog/view/sql-server-new || /products/product-catalog/view/automata-sql-new || /products/product-catalog/view/manual-testing-new,/products/product-catalog/view/automata-new || /products/product-catalog/view/automata-selenium || /products/product-catalog/view/automata-pro-new || /products/product-catalog/view/mechanical-and-vigilance-focus-8-0 || /products/product-catalog/view/smart-interview-live-coding || /products/product-catalog/view/automata-data-science-pro-new || /products/product-catalog/view/smart-interview-live || /products/product-catalog/view/automata-data-science-new || /products/product-catalog/view/job-control-language-new || /products/product-catalog/view/siebel-development-new,Automata (New) || Automata Selenium || Automata Pro (New) || Manufac. & Indust. - Mechanical & Vigilance 8.0 || Smart Interview Live Coding || Automata Data Science Pro (New) || Smart Interview Live || Automata Data Science (New) || Job Control Language (New) || Siebel Development (New)
S2_LLM_ENRICHED_BOOSTED,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes. Java developer Personality & Behavior Competencies,0.00,/products/product-catalog/view/automata-fix-new || /products/product-catalog/view/core-java-entry-level-new || /products/product-catalog/view/java-8-new || /products/product-catalog/view/core-java-advanced-level-new || /products/product-catalog/view/interpersonal-communications,/products/product-catalog/view/mechanical-and-vigilance-focus-8-0 || /products/product-catalog/view/vigilance-focus-8-0 || /products/product-catalog/view/automata-new || /products/product-catalog/view/mechanical-focus-8-0 || /products/product-catalog/view/programming-concepts || /products/product-catalog/view/project-management-2013 || /products/product-catalog/view/net-framework-4-5 || /products/product-catalog/view/shl-verify-interactive-g || /products/product-catalog/view/asp-net-4-5 || /products/product-catalog/view/universal-competency-framework-job-profiling-guide,Manufac. & Indust. - Mechanical & Vigilance 8.0 || Manufacturing & Industrial - Vigilance Focus 8.0 || Automata (New) || Manufacturing & Industrial - Mechanical Focus 8.0 || Programming Concepts || Project Management (2013) || .NET Framework 4.5 || SHL Verify Interactive G+ || ASP.NET 4.5 || Universal Competency Framework Job profiling guide
S2_LLM_ENRICHED_BOOSTED,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour ,0.00,/products/product-catalog/view/enterprise-leadership-report || /products/product-catalog/view/occupational-personality-questionnaire-opq32r || /products/product-catalog/view/opq-leadership-report || /products/product-catalog/view/opq-team-types-and-leadership-styles-report || /products/product-catalog/view/enterprise-leadership-report-2-0 || /products/product-catalog/view/global-skills-assessment,/products/product-catalog/view/smart-interview-on-demand || /products/product-catalog/view/universal-competency-framework-interview-guide || /products/product-catalog/view/hipo-assessment-report-2-0 || /products/product-catalog/view/human-resources-new || /products/product-catalog/view/smart-interview-live || /products/product-catalog/view/universal-competency-framework-job-profiling-guide || /products/product-catalog/view/hipo-unlocking-potential-report-2-0 || /products/product-catalog/view/universal-competency-framework-profiler-cards-44 || /products/product-catalog/view/hipo-assessment-report-1-0 || /products/product-catalog/view/executive-scenarios-profile-report,Smart Interview On Demand || Universal Competency Framework Interview Guide || HiPo Assessment Report 2.0 || Human Resources (New) || Smart Interview Live || Universal Competency Framework Job profiling guide || HiPo Unlocking Potential Report 2.0 || Universal Competency Framework Profiler Cards (44) || HiPo Assessment Report 1.0 || Executive Scenarios Profile Report
S2_LLM_ENRICHED_BOOSTED,"I want to hire a Senior Data Analyst with 5 years of experience and expertise in SQL, Excel and Python. The assessment can be 1-2 hour long","I want to hire a Senior Data Analyst with 5 years of experience and expertise in SQL, Excel and Python. The assessment can be 1-2 hour long Python SQL Analyst",0.10,/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29 || /products/product-catalog/view/sql-server-new || /products/product-catalog/view/automata-sql-new || /products/product-catalog/view/python-new || /products/product-catalog/view/tableau-new || /products/product-catalog/view/microsoft-excel-365-new || /products/product-catalog/view/microsoft-excel-365-essentials-new || /products/product-catalog/view/professional-7-0-solution-3958 || /products/product-catalog/view/professional-7-1-solution || /products/product-catalog/view/data-warehousing-concepts,/products/product-catalog/view/smart-interview-on-demand || /products/product-catalog/view/oracle-dba-entry-level-new || /products/product-catalog/view/teradata-development-new || /products/product-catalog/view/informatica-developer-new || /products/product-catalog/view/ibm-datastage-new || /products/product-catalog/view/oracle-dba-advanced-level-new || /products/product-catalog/view/data-warehousing-concepts || /products/product-catalog/view/informatica-architecture-new || /products/product-catalog/view/sap-sd-sales-and-distribution-new || /products/product-catalog/view/ms-excel-new,Smart Interview On Demand || Oracle DBA (Entry Level) (New) || Teradata Development (New) || Informatica (Developer) (New) || IBM DataStage (New) || Oracle DBA (Advanced Level) (New) || Data Warehousing Concepts || Informatica (Architecture) (New) || SAP SD (Sales and Distribution) (New) || MS Excel (New)
S2_LLM_ENRICHED_BOOSTED,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options sales",0.00,/products/product-catalog/view/entry-level-sales-7-1 || /products/product-catalog/view/entry-level-sales-sift-out-7-1 || /products/product-catalog/view/entry-level-sales-solution || /products/product-catalog/view/sales-representative-solution || /products/product-catalog/view/business-communication-adaptive || /products/product-catalog/view/technical-sales-associate-solution || /products/product-catalog/view/svar-spoken-english-indian-accent-new || /products/product-catalog/view/interpersonal-communications || /products/product-catalog/view/english-comprehension-new,/products/product-catalog/view/sap-sd-sales-and-distribution-new || /products/product-catalog/view/sales-transformation-report-2-0-sales-manager || /products/product-catalog/view/sales-transformation-report-sales-manager || /products/product-catalog/view/smart-interview-live || /products/product-catalog/view/salesforce-development-new || /products/product-catalog/view/smart-interview-on-demand || /products/product-catalog/view/marketing-new || /products/product-catalog/view/front-office-management-new || /products/product-catalog/view/universal-competency-framework-interview-guide || /products/product-catalog/view/financial-and-banking-services-new,SAP SD (Sales and Distribution) (New) || Sales Transformation Report 2.0 - Sales Manager || Sales Transformation Report 1.0 - Sales Manager || Smart Interview Live || Salesforce Development (New) || Smart Interview On Demand || Marketing (New) || Front Office Management (New) || Universal Competency Framework Interview Guide || Financial and Banking Services (New)
S2_LLM_ENRICHED_BOOSTED,"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long ",0.17,/products/product-catalog/view/administrative-professional-short-form || /products/product-catalog/view/verify-numerical-ability || /products/product-catalog/view/financial-professional-short-form || /products/product-catalog/view/bank-administrative-assistant-short-form || /products/product-catalog/view/general-entry-level-data-entry-7-0-solution || /products/product-catalog/view/basic-computer-literacy-windows-10-new,/products/product-catalog/view/automata-new || /products/product-catalog/view/basic-computer-literacy-windows-10-new || /products/product-catalog/view/financial-and-banking-services-new || /products/product-catalog/view/shl-verify-interactive-g || /products/product-catalog/view/automata-sql-new || /products/product-catalog/view/microsoft-sql-server-2014-programming || /products/product-catalog/view/asp-net-4-5 || /products/product-catalog/view/mechanical-and-vigilance-focus-8-0 || /products/product-catalog/view/mechanical-focus-8-0 || /products/product-catalog/view/microsoft-excel-365-new,Automata (New) || Basic Computer Literacy (Windows 10) (New) || Financial and Banking Services (New) || SHL Verify Interactive G+ || Automata - SQL (New) || Microsoft SQL Server 2014 Programming || ASP.NET 4.5 || Manufac. & Indust. - Mechanical & Vigilance 8.0 || Manufacturing & Industrial - Mechanical Focus 8.0 || Microsoft Excel 365 (New)
S2_LLM_ENRICHED_BOOSTED,"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins","KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins sales",0.20,/products/product-catalog/view/verify-verbal-ability-next-generation || /products/product-catalog/view/shl-verify-interactive-inductive-reasoning || /products/product-catalog/view/marketing-new || /products/product-catalog/view/english-comprehension-new || /products/product-catalog/view/interpersonal-communications,/products/product-catalog/view/front-office-management-new || /products/product-catalog/view/universal-competency-framework-interview-guide || /products/product-catalog/view/smart-interview-live || /products/product-catalog/view/marketing-new || /products/product-catalog/view/smart-interview-on-demand || /products/product-catalog/view/hipo-assessment-report-1-0 || /products/product-catalog/view/mq-profile || /products/product-catalog/view/universal-competency-framework-job-profiling-guide || /products/product-catalog/view/human-resources-new || /products/product-catalog/view/universal-competency-framework-profiler-cards-44,Front Office Management (New) || Universal Competency Framework Interview Guide || Smart Interview Live || Marketing (New) || Smart Interview On Demand || HiPo Assessment Report 1.0 || MQ Profile || Universal Competency Framework Job profiling guide || Human Resources (New) || Universal Competency Framework Profiler Cards (44)
S2_LLM_ENRICHED_BOOSTED,"We're looking for a Marketing Manager who can drive Recro’s brand positioning, community growth, and overall marketing strategy to fuel business growth. The ideal candidate is a strategic thinker, an execution-focused leader, and an expert in building high-performing marketing teams.



About Recro 


Recro is a developer-focused platform that was founded to match individual expertise with the right opportunities seamlessly. We empower talented developers by providing them with relevant experience at fast-growing startups based on technical competencies and aspirations. These opportunities have a significant impact on their career success and help them become their best self.


About The Role

Develop and execute Recro’s marketing strategy to enhance community engagement, brand positioning, and industry presence.
Lead the marketing team and oversee all functions, with a strong focus on community building, events, brand positioning, social media engagement, and market intelligence.
Drive demand generation by leveraging community-driven initiatives, influencer partnerships, and strategic event participation.
Organize and represent Recro at industry conferences, networking events, and developer meetups to strengthen brand positioning.
Build and nurture relationships with industry influencers, developer communities, and partners to create brand advocates.
Own the marketing funnel, ensuring continuous tracking, analysis, and optimization of community engagement and event performance.
Collaborate with sales, business development, and leadership teams to align marketing strategies with business objectives and market trends.
Manage marketing budgets, prioritizing event sponsorships, partnerships, and community-driven growth initiatives.
Develop compelling content strategies to drive community interaction and thought leadership.
Stay ahead of industry trends, competitor movements, and emerging social and market intelligence to maintain a competitive edge


Requirements

5+ years of experience in B2B marketing with a strong focus on community building, events, and brand positioning.
Has a deep understanding how demand generation works from traditional and new age channels
Proven track record of executing large-scale events and community-driven initiatives.
Experience in developing partnerships with industry influencers and thought leaders.
Strong understanding of social media dynamics and community engagement strategies.
Ability to leverage market intelligence and competitor insights to refine marketing strategies.
Exceptional storytelling and brand communication skills.
Hands-on experience with event management, sponsorships, and partnership collaborations.
Experience in building a thriving developer or tech community is a plus.
Open for flexible work timings as per target geographies.

I have no bar on duration.","We're looking for a Marketing Manager who can drive Recro’s brand positioning, community growth, and overall marketing strategy to fuel business growth. The ideal candidate is a strategic thinker, an execution-focused leader, and an expert in building high-performing marketing teams.



About Recro 


Recro is a developer-focused platform that was founded to match individual expertise with the right opportunities seamlessly. We empower talented developers by providing them with relevant experience at fast-growing startups based on technical competencies and aspirations. These opportunities have a significant impact on their career success and help them become their best self.


About The Role

Develop and execute Recro’s marketing strategy to enhance community engagement, brand positioning, and industry presence.
Lead the marketing team and oversee all functions, with a strong focus on community building, events, brand positioning, social media engagement, and market intelligence.
Drive demand generation by leveraging community-driven initiatives, influencer partnerships, and strategic event participation.
Organize and represent Recro at industry conferences, networking events, and developer meetups to strengthen brand positioning.
Build and nurture relationships with industry influencers, developer communities, and partners to create brand advocates.
Own the marketing funnel, ensuring continuous tracking, analysis, and optimization of community engagement and event performance.
Collaborate with sales, business development, and leadership teams to align marketing strategies with business objectives and market trends.
Manage marketing budgets, prioritizing event sponsorships, partnerships, and community-driven growth initiatives.
Develop compelling content strategies to drive community interaction and thought leadership.
Stay ahead of industry trends, competitor movements, and emerging social and market intelligence to maintain a competitive edge


Requirements

5+ years of experience in B2B marketing with a strong focus on community building, events, and brand positioning.
Has a deep understanding how demand generation works from traditional and new age channels
Proven track record of executing large-scale events and community-driven initiatives.
Experience in developing partnerships with industry influencers and thought leaders.
Strong understanding of social media dynamics and community engagement strategies.
Ability to leverage market intelligence and competitor insights to refine marketing strategies.
Exceptional storytelling and brand communication skills.
Hands-on experience with event management, sponsorships, and partnership collaborations.
Experience in building a thriving developer or tech community is a plus.
Open for flexible work timings as per target geographies.

I have no bar on duration. Manager sales Personality & Behavior Competencies developer leadership",0.00,/products/product-catalog/view/manager-8-0-jfa-4310 || /products/product-catalog/view/microsoft-excel-365-essentials-new || /products/product-catalog/view/digital-advertising-new || /products/product-catalog/view/shl-verify-interactive-inductive-reasoning || /products/product-catalog/view/writex-email-writing-sales-new,/products/product-catalog/view/marketing-new || /products/product-catalog/view/mfs-360-enterprise-leadership-report || /products/product-catalog/view/smart-interview-live || /products/product-catalog/view/sales-transformation-report-2-0-sales-manager || /products/product-catalog/view/sales-transformation-report-sales-manager || /products/product-catalog/view/hipo-assessment-report-2-0 || /products/product-catalog/view/hipo-assessment-report-1-0 || /products/product-catalog/view/hipo-unlocking-potential-report-2-0 || /products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report || /products/product-catalog/view/universal-competency-framework-interview-guide,Marketing (New) || MFS 360 Enterprise Leadership Report || Smart Interview Live || Sales Transformation Report 2.0 - Sales Manager || Sales Transformation Report 1.0 - Sales Manager || HiPo Assessment Report 2.0 || HiPo Assessment Report 1.0 || HiPo Unlocking Potential Report 2.0 || MFS 360 UCF Performance Potential Dev Tips Report || Universal Competency Framework Interview Guide
